ID,SMILES,Status
rad_0069,[CH]=CC(C)C=C,Pending
rad_0070,[CH2]C(C=C)C=C,Pending
rad_0071,[CH]=C1CC(C)C1,Pending
rad_0072,C=C1[CH]C(C)C1,Pending
rad_0073,C=C1C[C](C)C1,Pending
rad_0074,[CH2]C1CC(=C)C1,Pending
rad_0075,C=C(C)[C]=CC,Pending
rad_0076,[CH2]C(=C)C=CC,Pending
rad_0077,C=C(C)C=[C]C,Pending
rad_0078,[CH]=C(C)C=CC,Pending
rad_0079,[CH2]C=CC(=C)C,Pending
rad_0080,CCC1(C)[C]=C1,Pending
rad_0081,[CH2]C1(CC)C=C1,Pending
rad_0082,C[CH]C1(C)C=C1,Pending
rad_0083,[CH2]CC1(C)C=C1,Pending
rad_0084,C[CH]C=C(C)C,Pending
rad_0085,CC[C]=C(C)C,Pending
rad_0086,[CH2]CC=C(C)C,Pending
rad_0087,[CH2]C(C)=CCC,Pending
rad_0088,[CH2]C=C(C)CC,Pending
rad_0089,C[C]=C(C)CC,Pending
rad_0090,[CH2]C(=CC)CC,Pending
rad_0091,C[CH]C(C)=CC,Pending
rad_0092,[CH2]CC(C)=CC,Pending
rad_0093,[CH2]C1(C)C=C1C,Pending
rad_0094,CC1=[C]C1(C)C,Pending
rad_0095,[CH2]C1=CC1(C)C,Pending
rad_0096,C[CH]C1=CC1C,Pending
rad_0097,[CH2]CC1=CC1C,Pending
rad_0098,CCC1=[C]C1C,Pending
rad_0099,CCC1=C[C]1C,Pending
rad_0100,[CH2]C1C=C1CC,Pending
rad_0101,[CH]=C(CC)CC,Pending
rad_0102,C=C([CH]C)CC,Pending
rad_0103,[CH2]CC(=C)CC,Pending
rad_0104,[C]1=CCCC=C1,Pending
rad_0105,[C]1=CC=CCC1,Pending
rad_0106,[CH]1C=CC=CC1,Pending
rad_0107,C=[C]C(=C)CC,Pending
rad_0108,[CH]=C(C=C)CC,Pending
rad_0109,C=CC(=C)[CH]C,Pending
rad_0110,[CH2]CC(=C)C=C,Pending
rad_0111,[CH]=CC(=C)CC,Pending
rad_0112,CC1(C)[C]=CC1,Pending
rad_0113,[CH2]C1(C)C=CC1,Pending
rad_0114,CC1(C)[CH]C=C1,Pending
rad_0115,CC1(C)C=[C]C1,Pending
rad_0116,CC=[C]C=CC,Pending
rad_0117,C[C]=CC=CC,Pending
rad_0118,[CH2]C=CC=CC,Pending
rad_0119,C=CC[C]1CC1,Pending
rad_0120,C=CCC1[CH]C1,Pending
rad_0121,C=C[CH]C1CC1,Pending
rad_0122,C=[C]CC1CC1,Pending
rad_0123,[CH]=CCC1CC1,Pending
rad_0124,[CH2]C(=C)CC=C,Pending
rad_0125,C=C[CH]C(=C)C,Pending
rad_0126,C=[C]CC(=C)C,Pending
rad_0127,[CH]=C(C)CC=C,Pending
rad_0128,[CH]=CCC(=C)C,Pending
rad_0129,[CH2]C(C)=C(C)C,Pending
rad_0130,CC=[C]C1=CC1,Pending
rad_0131,CC=CC1=[C]C1,Pending
rad_0132,C[C]=CC1=CC1,Pending
rad_0133,CC=CC1=C[CH]1,Pending
rad_0134,[CH2]C=CC1=CC1,Pending
rad_0135,[CH2]C1=C(C)CC1,Pending
rad_0136,CC1=C(C)C[CH]1,Pending
rad_0137,CCC1C=[C]C1,Pending
rad_0138,CCC1[C]=CC1,Pending
rad_0139,CC[C]1C=CC1,Pending
rad_0140,C[CH]C1C=CC1,Pending
rad_0141,CCC1[CH]C=C1,Pending
rad_0142,[CH2]CC1C=CC1,Pending
rad_0143,[CH2]C1(C)CC1=C,Pending
rad_0144,C=C1[CH]C1(C)C,Pending
rad_0145,[CH]=C1CC1(C)C,Pending
rad_0146,[CH2]C1=CCC1=C,Pending
rad_0147,C=C1C[C]=C1C,Pending
rad_0148,[CH]=C1CC=C1C,Pending
