ID,SMILES,Status
rad_0074,[CH2]CC(C)C(C)C,Pending
rad_0075,CC[CH]CC,Pending
rad_0076,C[CH]CCC,Pending
rad_0077,[CH2]CCCC,Pending
rad_0078,C[C]1CC1C,Pending
rad_0079,CC1[CH]C1C,Pending
rad_0080,[CH2]C1CC1C,Pending
rad_0081,C[CH]CCCC,Pending
rad_0082,CC[CH]CCC,Pending
rad_0083,[CH2]CCCCC,Pending
rad_0084,CC(C)[CH]C(C)C,Pending
rad_0085,C[C](C)CC(C)C,Pending
rad_0086,[CH2]C(C)CC(C)C,Pending
rad_0087,[CH2]C1(C)CC1,Pending
rad_0088,CC1(C)[CH]C1,Pending
rad_0089,CC1(C)[CH]CCC1,Pending
rad_0090,CC1(C)C[CH]CC1,Pending
rad_0091,[CH2]C1(C)CCCC1,Pending
rad_0092,C[C]1CC1(C)C,Pending
rad_0093,[CH2]C1(C)CC1C,Pending
rad_0094,[CH2]C1CC1(C)C,Pending
rad_0095,CC1[CH]C1(C)C,Pending
rad_0096,CC[C]1CCC1C,Pending
rad_0097,CCC1CC[C]1C,Pending
rad_0098,CCC1[CH]CC1C,Pending
rad_0099,C[CH]C1CCC1C,Pending
rad_0100,[CH2]C1CCC1CC,Pending
rad_0101,[CH2]CC1CCC1C,Pending
rad_0102,CCC1C[CH]C1C,Pending
rad_0103,[CH2]C(C)C(C)(C)C,Pending
rad_0104,C[C](C)C(C)(C)C,Pending
rad_0105,[CH2]C(C)(C)C(C)C,Pending
rad_0106,[CH2]C(CC)CCC,Pending
rad_0107,CCC[C](C)CC,Pending
rad_0108,C[CH]C(C)CCC,Pending
rad_0109,CC[CH]C(C)CC,Pending
rad_0110,[CH2]CC(C)CCC,Pending
rad_0111,C[CH]CC(C)CC,Pending
rad_0112,[CH2]CCC(C)CC,Pending
rad_0113,[CH]1CCC1,Pending
rad_0114,C[CH]C1CC1,Pending
rad_0115,CC[C]1CC1,Pending
rad_0116,CCC1[CH]C1,Pending
rad_0117,[CH2]CC1CC1,Pending
rad_0118,[CH2]C(C)(C)C,Pending
rad_0119,C[C]1C(C)CC1C,Pending
rad_0120,C[C]1CC(C)C1C,Pending
rad_0121,CC1[CH]C(C)C1C,Pending
rad_0122,[CH2]C1CC(C)C1C,Pending
rad_0123,[CH2]C1C(C)CC1C,Pending
rad_0124,C[CH]CC1CCC1,Pending
rad_0125,CC[CH]C1CCC1,Pending
rad_0126,CCC[C]1CCC1,Pending
rad_0127,[CH2]CCC1CCC1,Pending
rad_0128,CCCC1[CH]CC1,Pending
rad_0129,CCCC1C[CH]C1,Pending
rad_0130,CC1[CH]CCC1C,Pending
rad_0131,C[C]1CCCC1C,Pending
rad_0132,[CH2]C1CCCC1C,Pending
rad_0133,CC1C[CH]CC1C,Pending
rad_0134,[CH2]C1CC(C)C1,Pending
rad_0135,C[C]1CC(C)C1,Pending
rad_0136,CC1[CH]C(C)C1,Pending
rad_0137,CCC[C]1CC1C,Pending
rad_0138,CCCC1C[C]1C,Pending
rad_0139,CC[CH]C1CC1C,Pending
rad_0140,CCCC1[CH]C1C,Pending
rad_0141,C[CH]CC1CC1C,Pending
rad_0142,[CH2]C1CC1CCC,Pending
rad_0143,[CH2]CCC1CC1C,Pending
rad_0144,C[CH]C1(C)CC1C,Pending
rad_0145,CCC1(C)[CH]C1C,Pending
rad_0146,[CH2]CC1(C)CC1C,Pending
rad_0147,[CH2]C1(CC)CC1C,Pending
rad_0148,CCC1(C)C[C]1C,Pending
rad_0149,[CH2]C1CC1(C)CC,Pending
rad_0150,CC[C]1CC1C,Pending
rad_0151,C[CH]C1CC1C,Pending
rad_0152,[CH2]CC1CC1C,Pending
rad_0153,CCC1C[C]1C,Pending
rad_0154,CCC1[CH]C1C,Pending
rad_0155,[CH2]C1CC1CC,Pending
rad_0156,[CH2]C(C)C1CC1,Pending
rad_0157,C[C](C)C1CC1,Pending
rad_0158,CC(C)[C]1CC1,Pending
rad_0159,CC(C)C1[CH]C1,Pending
rad_0160,CCC1C[C](C)C1,Pending
rad_0161,[CH2]C1CC(CC)C1,Pending
rad_0162,CCC1[CH]C(C)C1,Pending
rad_0163,CC[C]1CC(C)C1,Pending
rad_0164,C[CH]C1CC(C)C1,Pending
rad_0165,[CH2]CC1CC(C)C1,Pending
rad_0166,CCC1(C)[CH]C1,Pending
rad_0167,C[CH]C1(C)CC1,Pending
rad_0168,[CH2]CC1(C)CC1,Pending
rad_0169,[CH2]C1(CC)CC1,Pending
rad_0170,[CH]1CCCC1,Pending
rad_0171,[CH2]CC1(CC)CC1,Pending
rad_0172,C[CH]C1(CC)CC1,Pending
rad_0173,CCC1(CC)[CH]C1,Pending
rad_0174,C[C]1CCC1(C)C,Pending
rad_0175,[CH2]C1(C)CCC1C,Pending
rad_0176,[CH2]C1CCC1(C)C,Pending
rad_0177,CC1C[CH]C1(C)C,Pending
rad_0178,CC1[CH]CC1(C)C,Pending
rad_0179,CCC1(C)[CH]CC1,Pending
rad_0180,[CH2]C1(CC)CCC1,Pending
rad_0181,CCC1(C)C[CH]C1,Pending
rad_0182,C[CH]C1(C)CCC1,Pending
rad_0183,[CH2]CC1(C)CCC1,Pending
rad_0184,C[CH]CC1CC1,Pending
rad_0185,CC[CH]C1CC1,Pending
rad_0186,[CH2]CCC1CC1,Pending
rad_0187,CCC[C]1CC1,Pending
rad_0188,CCCC1[CH]C1,Pending
rad_0189,CC(C)C1(C)[CH]C1,Pending
rad_0190,C[C](C)C1(C)CC1,Pending
rad_0191,[CH2]C1(C(C)C)CC1,Pending
rad_0192,[CH2]C(C)C1(C)CC1,Pending
rad_0193,CC1C[CH]CCC1,Pending
rad_0194,CC1[CH]CCCC1,Pending
rad_0195,CC1CC[CH]CC1,Pending
rad_0196,C[C]1CCCCC1,Pending
