job_id,smiles
rad_0163,CC1=CC[CH]C1
rad_0164,CC1=CCC[CH]1
rad_0165,CC1=[C]CCC1
rad_0166,CC1=C[CH]CC1
rad_0167,[CH2]C1=CCCC1
rad_0168,[CH2]C1=C(CC)C1
rad_0169,CCC1=C(C)[CH]1
rad_0170,C[CH]C1=C(C)C1
rad_0171,[CH2]CC1=C(C)C1
rad_0172,[CH]=C1C(=C)C1C
rad_0173,C=C1[C](C)C1=C
rad_0174,[CH2]C1C(=C)C1=C
rad_0175,C=C1[C]=CCC1
rad_0176,[CH]=C1C=CCC1
rad_0177,C=C1[CH]CC=C1
rad_0178,C=C1C=[C]CC1
rad_0179,C=C1C=C[CH]C1
rad_0180,C=C1[CH]C=CC1
rad_0181,C=C1C[C]=CC1
rad_0182,[CH]=C1CC=CC1
rad_0183,C=CC1(C)[C]=C1
rad_0184,C=[C]C1(C)C=C1
rad_0185,[CH]=CC1(C)C=C1
rad_0186,[CH2]C1(C=C)C=C1
rad_0187,C=C1[C](C)C1C
rad_0188,[CH]=C1C(C)C1C
rad_0189,[CH2]C1C(=C)C1C
rad_0190,CC[CH]C1=CC1
rad_0191,CCCC1=[C]C1
rad_0192,C[CH]CC1=CC1
rad_0193,CCCC1=C[CH]1
rad_0194,[CH2]CCC1=CC1
rad_0195,C=[C]CC=CC
rad_0196,C=C[CH]C=CC
rad_0197,C=CC[C]=CC
rad_0198,C=CCC=[C]C
rad_0199,[CH2]C=CCC=C
rad_0200,[CH]=CCC=CC
rad_0201,C=C[CH]CC=C
rad_0202,C=[C]CCC=C
rad_0203,[CH]=CCCC=C
rad_0204,C[C]1C=CC1C
rad_0205,CC1[C]=CC1C
rad_0206,[CH2]C1C=CC1C
rad_0207,CCC=C1[C]=C1
rad_0208,CC[C]=C1C=C1
rad_0209,C[CH]C=C1C=C1
rad_0210,[CH2]CC=C1C=C1
rad_0211,C[C]=C1C=C1C
rad_0212,[CH2]C=C1C=C1C
rad_0213,CC=C1[C]=C1C
rad_0214,[CH2]C1=CC1=CC
rad_0215,C=[C]C1CC1C
rad_0216,[CH]=CC1CC1C
rad_0217,C=C[C]1CC1C
rad_0218,C=CC1C[C]1C
rad_0219,C=CC1[CH]C1C
rad_0220,[CH2]C1CC1C=C
rad_0221,[CH]=C1CCC1=C
rad_0222,C=C1[CH]CC1=C
rad_0223,[CH2]C(C)CC=C
rad_0224,C=CC[C](C)C
rad_0225,C=C[CH]C(C)C
rad_0226,C=[C]CC(C)C
rad_0227,[CH]=CCC(C)C
rad_0228,C[CH]C1=CCC1
rad_0229,CCC1=CC[CH]1
rad_0230,CCC1=C[CH]C1
rad_0231,[CH2]CC1=CCC1
rad_0232,CCC1=[C]CC1
rad_0233,[CH2]C1=CC(C)=C1
rad_0234,CC1=[C]C(C)=C1
rad_0235,[CH2]C1=C(C=C)C1
rad_0236,C=[C]C1=C(C)C1
rad_0237,C=CC1=C(C)[CH]1
rad_0238,[CH]=CC1=C(C)C1
rad_0239,C=C1[CH]C1=CC
rad_0240,C=C1CC1=[C]C
rad_0241,[CH]=C1CC1=CC
rad_0242,[CH2]C=C1CC1=C
rad_0243,C=C1CC[C]1C
rad_0244,C=C1C[CH]C1C
rad_0245,C=C1[CH]CC1C
rad_0246,[CH2]C1CCC1=C
rad_0247,[CH]=C1CCC1C
rad_0248,CC1[CH]C=CC1
rad_0249,CC1C[C]=CC1
rad_0250,C[C]1CC=CC1
rad_0251,[CH2]C1CC=CC1
rad_0252,C=C[C]1CC1=C
rad_0253,C=CC1[CH]C1=C
rad_0254,C=[C]C1CC1=C
rad_0255,[CH]=CC1CC1=C
rad_0256,[CH]=C1CC1C=C
rad_0257,[CH2]C(=C)C1CC1
rad_0258,[CH]=C(C)C1CC1
rad_0259,C=C(C)[C]1CC1
rad_0260,C=C(C)C1[CH]C1
rad_0261,[CH2]C1=CC=CC1
rad_0262,CC1=CC=C[CH]1
rad_0263,CC1=[C]C=CC1
rad_0264,CC1=C[C]=CC1
rad_0265,CC1=CC=[C]C1
rad_0266,[CH2]C1=C(C)C=C1
rad_0267,CC1=C(C)C=[C]1
rad_0268,CC1C=C[CH]C1
rad_0269,CC1[CH]CC=C1
rad_0270,CC1C=[C]CC1
rad_0271,C[C]1C=CCC1
rad_0272,CC1[C]=CCC1
rad_0273,[CH2]C1C=CCC1
rad_0274,C=CC1=C[CH]C1
rad_0275,C=CC1=[C]CC1
rad_0276,C=CC1=CC[CH]1
rad_0277,C=[C]C1=CCC1
rad_0278,[CH]=CC1=CCC1
rad_0279,[CH2]C1=CCC1C
rad_0280,C[C]1CC=C1C
rad_0281,CC1=C[CH]C1C
rad_0282,CC1=[C]CC1C
rad_0283,[CH2]C1CC=C1C
rad_0284,C=[C]C1=CC1C
rad_0285,[CH]=CC1=CC1C
rad_0286,C=CC1=[C]C1C
rad_0287,C=CC1=C[C]1C
rad_0288,[CH2]C1C=C1C=C
rad_0289,C=C[C]1CCC1
rad_0290,C=[C]C1CCC1
rad_0291,C=CC1[CH]CC1
rad_0292,[CH]=CC1CCC1
rad_0293,C=CC1C[CH]C1
rad_0294,CC1=[C]C=C1C
rad_0295,[CH2]C1=CC=C1C
rad_0296,CC=C1C[C]1C
rad_0297,C[C]=C1CC1C
rad_0298,[CH2]C=C1CC1C
rad_0299,[CH2]C1CC1=CC
rad_0300,CC=C1[CH]C1C
rad_0301,CC1[C]=CC=C1
rad_0302,C[C]1C=CC=C1
rad_0303,[CH2]C1C=CC=C1
rad_0304,CC1C=[C]C=C1
rad_0305,[CH2]C1=CC1CC
rad_0306,CC[C]1C=C1C
rad_0307,C[CH]C1C=C1C
rad_0308,CCC1[C]=C1C
rad_0309,[CH2]CC1C=C1C
rad_0310,[C]1=CCC=CC1
rad_0311,[CH]1C=CCC=C1
rad_0312,C[C]1C(C)=C1C
rad_0313,[CH2]C1C(C)=C1C
rad_0314,[CH2]C1=C(C)C1C
rad_0315,C=C1C=[C]C1C
rad_0316,C=C1[C]=CC1C
rad_0317,[CH]=C1C=CC1C
rad_0318,C=C1C=C[C]1C
rad_0319,[CH2]C1C=CC1=C
rad_0320,[CH2]C1=C(C)C1=C
rad_0321,[CH]=C1C(C)=C1C
rad_0322,C=[C]CC1=CC1
rad_0323,C=C[CH]C1=CC1
rad_0324,[CH]=CCC1=CC1
rad_0325,C=CCC1=C[CH]1
rad_0326,C=CCC1=[C]C1
rad_0327,[CH]1C=CCCC1
rad_0328,[CH]1CC=CCC1
rad_0329,[C]1=CCCCC1
rad_0330,[CH2]C1=CC(=C)C1
rad_0331,C=C1[CH]C(C)=C1
rad_0332,C=C1[C]=C(C)C1
rad_0333,[CH]=C1C=C(C)C1
rad_0334,CC(C)C1[C]=C1
rad_0335,CC(C)[C]1C=C1
rad_0336,C[C](C)C1C=C1
rad_0337,[CH2]C(C)C1C=C1
rad_0338,C[C](C)C1=CC1
rad_0339,[CH2]C(C)C1=CC1
