ID,SMILES,A(iso)
rad_0064,CCC[CH]CCC,[0.5359 -2.7161 51.3352 -62.8117 80.6146 -2.1349 0.9516]
rad_0065,C[C]1CCC1,[60.8174 0 91.2234 -3.6828 90.6707]
rad_0066,[CH2]C1CCC1,[-62.5969 5.7906 -2.5321 -0.4474 -3.25]
rad_0067,CC1[CH]CC1,[-0.932 95.6674 -64.0758 99.2796 -3.6267]
rad_0068,CC1C[CH]C1,[0.1688 -3.8249 98.9408 -65.2032 98.9499]
rad_0071,[CH2]C(C)C(C)CC,[-63.5687 116.8552 -1.7833 -2.3152 0.6721 1.5444 1.012]
rad_0072,[CH2]C(CC)C(C)C,[-64.3469 9.15 0.8631 1.0442 -3.3342 1.5807 0.8723]
rad_0074,[CH2]CC(C)C(C)C,[-63.3544 66.9207 -2.6959 0.4042 0.9251 0.1324 0.7629]
rad_0075,CC[CH]CC,[0.223 30.6067 -61.1092 72.002 -1.6408]
rad_0076,C[CH]CCC,[64.303 -61.1204 28.817 -3.9383 0.6662]
rad_0077,[CH2]CCCC,[-63.1942 88.1924 -1.7856 0.7491 0.2392]
rad_0078,C[C]1CC1C,[52.473 0 55.9661 68.6254 1.7891]
rad_0079,CC1[CH]C1C,[-1.9901 47.8723 -14.3985 48.1183 -2.0039]
rad_0080,[CH2]C1CC1C,[-61.3851 4.0648 0.1459 2.411 0.8631]
rad_0081,C[CH]CCCC,[63.4543 -61.9613 83.731 -1.6147 0.9431 0.1394]
rad_0082,CC[CH]CCC,[-1.3103 76.7228 -60.0622 83.5289 -1.6161 0.4734]
rad_0083,[CH2]CCCCC,[-63.3667 88.7897 -1.7826 0.2412 0.027 0.0338]
rad_0084,CC(C)[CH]C(C)C,[-1.2758 108.084 -1.4621 -59.4266 45.84 -1.039 1.8392]
rad_0085,C[C](C)CC(C)C,[60.6705 0 57.6024 35.9768 -3.4492 0.3594 0.3602]
rad_0086,[CH2]C(C)CC(C)C,[-63.1855 54.4925 3.8564 -1.2805 0.4216 0.0462 0.1976]
rad_0087,[CH2]C1(C)CC1,[-61.7214 0 -2.3811 0.8403 0.7907]
rad_0088,CC1(C)[CH]C1,[5.0292 0 -0.896 -12.9864 59.3037]
rad_0089,CC1(C)[CH]CCC1,[4.5468 0 1.9587 -64.7504 95.3944 -1.3309 -0.3408]
rad_0090,CC1(C)C[CH]CC1,[0.3261 0 -0.0454 92.0789 -65.2717 93.8962 -1.4803]
rad_0091,[CH2]C1(C)CCCC1,[-62.2542 0 6.3328 -0.4433 1.2063 1.6236 -0.2494]
rad_0092,C[C]1CC1(C)C,[52.3944 0 57.1461 0 2.5677 -0.8715]
rad_0093,[CH2]C1(C)CC1C,[-61.3773 0 -2.5265 0.4424 -6.1509 3.4907]
rad_0094,[CH2]C1CC1(C)C,[-61.0267 6.8358 0.1611 0 4.4061 0.6642]
rad_0095,CC1[CH]C1(C)C,[-2.092 46.5719 -14.2773 0 -0.9455 4.4302]
rad_0096,CC[C]1CCC1C,[-1.3234 69.3824 0 89.956 -3.2944 89.5946 -1.5168]
rad_0097,CCC1CC[C]1C,[0.5633 -1.3437 78.0692 -2.8003 86.4992 0 59.5612]
rad_0098,CCC1[CH]CC1C,[0.4745 -0.6776 94.4489 -63.8656 100.0562 -3.7005 0.1905]
rad_0099,C[CH]C1CCC1C,[62.6934 -59.2027 36.3597 0.5747 0.407 -2.035 0.7777]
rad_0100,[CH2]C1CCC1CC,[-61.9651 22.489 -1.9509 0.0653 -3.1319 0.3544 1.2714]
rad_0101,[CH2]CC1CCC1C,[-63.3266 87.5966 -1.1769 0.4896 0.5737 0.4359 0.2143]
rad_0102,CCC1C[CH]C1C,[0.2381 0.3079 -3.737 99.6625 -64.7392 90.9222 -0.876]
rad_0103,[CH2]C(C)C(C)(C)C,[-64.2962 36.6054 0.821 0 0.3783 0.2817 2.087]
rad_0104,C[C](C)C(C)(C)C,[61.2251 0 60.9133 0 -0.9917 -0.9352 2.7442]
rad_0105,[CH2]C(C)(C)C(C)C,[-61.9814 0 8.0528 -1.0307 -1.7543 1.2483 0.9077]
rad_0106,[CH2]C(CC)CCC,[-63.4329 67.9946 -1.7543 1.0795 1.1052 0.6903 1.1972]
rad_0107,CCC[C](C)CC,[0.4011 -2.3379 52.127 0 57.9674 26.4707 0.2929]
rad_0108,C[CH]C(C)CCC,[64.4738 -60.863 111.98 -1.505 -2.0337 1.5113 0.6663]
rad_0109,CC[CH]C(C)CC,[-1.0637 73.994 -59.0313 24.5946 2.9773 -1.6874 1.0097]
rad_0110,[CH2]CC(C)CCC,[-64.3742 44.675 -3.4505 0.4305 1.143 0.0793 -0.0109]
rad_0111,C[CH]CC(C)CC,[63.784 -59.9696 78.916 -1.6 0.9349 0.6446 0.6226]
rad_0113,[CH]1CCC1,[-65.2193 99.3264 -3.966 99.2927]
rad_0114,C[CH]C1CC1,[62.9734 -59.504 6.4323 -0.4192 0.1436]
rad_0115,CC[C]1CC1,[-1.4334 64.7256 0 54.0101 54.3737]
rad_0116,CCC1[CH]C1,[1.1481 -1.189 66.4443 -15.1231 58.8218]
rad_0117,[CH2]CC1CC1,[-63.1971 87.299 -1.5689 -0.288 0.3829]
rad_0118,[CH2]C(C)(C)C,[-61.7602 0 7.1759 0.2998 -0.2074]
rad_0119,C[C]1C(C)CC1C,[61.6652 0 91.8557 -1.6674 -2.8224 91.8986 -1.5867]
rad_0121,CC1[CH]C(C)C1C,[0.0569 80.3028 -61.6683 103.6553 -1.2341 -3.006 0.2559]
rad_0122,[CH2]C1CC(C)C1C,[-62.847 3.9285 -2.7518 0.1345 1.1252 -4.8003 1.5571]
rad_0123,[CH2]C1C(C)CC1C,[-62.5105 4.276 -4.4274 1.4131 -0.4391 -5.0983 1.6691]
rad_0124,C[CH]CC1CCC1,[63.8751 -61.926 82.1104 -1.5044 1.0071 -0.0497 0.5844]
rad_0125,CC[CH]C1CCC1,[-1.4794 81.0263 -57.6667 19.626 -2.1171 0.0208 -2.8022]
rad_0126,CCC[C]1CCC1,[0.4845 -2.1997 69.7798 0 91.0665 -3.6233 89.1384]
rad_0127,[CH2]CCC1CCC1,[-63.471 91.7124 -1.6494 0.7739 0.0347 -0.0252 0.2202]
rad_0128,CCCC1[CH]CC1,[2.5121 1.4813 -2.7482 105.6431 -60.6846 96.4309 -3.7525]
rad_0129,CCCC1C[CH]C1,[0.0365 0.1739 0.3449 -3.5597 97.5523 -63.7522 97.3449]
rad_0130,CC1[CH]CCC1C,[2.3079 61.1469 -64.6604 94.4524 -1.4805 -0.9104 0.11]
rad_0131,C[C]1CCCC1C,[59.6589 0 85.6679 -1.4196 -0.2626 58.8523 0.9635]
rad_0132,[CH2]C1CCCC1C,[-63.7057 4.8051 -3.5764 1.3347 1.7753 -2.8943 0.1844]
rad_0133,CC1C[CH]CC1C,[0.0321 -1.5244 92.6601 -65.2862 92.3735 -1.526 0.0426]
rad_0134,[CH2]C1CC(C)C1,[-62.9789 4.3511 -3.1497 0.0836 1.2414 -2.6765]
rad_0135,C[C]1CC(C)C1,[60.3817 0 89.9248 -2.5054 0.4344 89.7477]
rad_0136,CC1[CH]C(C)C1,[-0.9713 98.0405 -63.6905 97.7686 -0.958 -2.9722]
rad_0137,CCC[C]1CC1C,[0.2101 -1.3434 64.7292 0 55.9537 66.8871 1.9168]
rad_0138,CCCC1C[C]1C,[0.2968 0.4259 -0.6784 38.4154 55.6375 0 51.0208]
rad_0139,CC[CH]C1CC1C,[-1.3195 76.6992 -58.6446 7.6716 -0.401 -6.9732 4.0237]
rad_0140,CCCC1[CH]C1C,[0.6625 0.449 1.5859 74.5845 -17.7763 41.1198 -1.9502]
rad_0141,C[CH]CC1CC1C,[63.8925 -60.4707 79.963 -1.4692 0.35 0.0711 0.1804]
rad_0142,[CH2]C1CC1CCC,[-61.4815 2.3028 -0.23 -6.1464 0.6434 -0.2597 0.1934]
rad_0143,[CH2]CCC1CC1C,[-63.1832 88.2721 -1.7821 0.8067 -0.0215 0.1293 -0.002]
rad_0144,C[CH]C1(C)CC1C,[63.7462 -62.1673 0 -1.8025 -0.2792 2.9004 0.7071]
rad_0145,CCC1(C)[CH]C1C,[1.6432 -1.2437 0 -0.908 -14.238 47.1531 -2.121]
rad_0146,[CH2]CC1(C)CC1C,[-63.2022 90.2232 0 0.7046 -0.1671 0.1782 0.3121]
rad_0147,[CH2]C1(CC)CC1C,[-60.7321 0 -1.9942 0.5999 0.3696 -6.9099 3.9405]
rad_0148,CCC1(C)C[C]1C,[0.513 -0.9452 0 2.6647 56.6546 0 52.4515]
