ID,SMILES
rad_0168,[CH2]CC1(C)CC1
rad_0169,[CH2]C1(CC)CC1
rad_0170,[CH]1CCCC1
rad_0171,[CH2]CC1(CC)CC1
rad_0172,C[CH]C1(CC)CC1
rad_0173,CCC1(CC)[CH]C1
rad_0174,C[C]1CCC1(C)C
rad_0175,[CH2]C1(C)CCC1C
rad_0176,[CH2]C1CCC1(C)C
rad_0177,CC1C[CH]C1(C)C
rad_0178,CC1[CH]CC1(C)C
rad_0179,CCC1(C)[CH]CC1
rad_0180,[CH2]C1(CC)CCC1
rad_0181,CCC1(C)C[CH]C1
rad_0182,C[CH]C1(C)CCC1
rad_0183,[CH2]CC1(C)CCC1
rad_0184,C[CH]CC1CC1
rad_0185,CC[CH]C1CC1
rad_0186,[CH2]CCC1CC1
rad_0187,CCC[C]1CC1
rad_0188,CCCC1[CH]C1
rad_0189,CC(C)C1(C)[CH]C1
rad_0190,C[C](C)C1(C)CC1
rad_0191,[CH2]C1(C(C)C)CC1
rad_0192,[CH2]C(C)C1(C)CC1
rad_0193,CC1C[CH]CCC1
rad_0194,CC1[CH]CCCC1
rad_0195,CC1CC[CH]CC1
rad_0196,C[C]1CCCCC1
rad_0197,[CH2]C1CCCCC1
rad_0198,CC[C]1CC1(C)C
rad_0199,C[CH]C1CC1(C)C
rad_0200,CCC1[CH]C1(C)C
rad_0201,[CH2]C1(C)CC1CC
rad_0202,[CH2]CC1CC1(C)C
rad_0203,CC[C]1CC1CC
rad_0204,C[CH]C1CC1CC
rad_0205,[CH2]CC1CC1CC
rad_0206,CCC1[CH]C1CC
rad_0207,CC[C](C)C1CC1
rad_0208,CCC(C)[C]1CC1
rad_0209,CCC(C)C1[CH]C1
rad_0210,[CH2]C(CC)C1CC1
rad_0211,C[CH]C(C)C1CC1
rad_0212,[CH2]CC(C)C1CC1
rad_0213,C[C](C)C1CCC1
rad_0214,[CH2]C(C)C1CCC1
rad_0215,CC(C)[C]1CCC1
rad_0216,CC(C)C1[CH]CC1
rad_0217,CC(C)C1C[CH]C1
rad_0218,CC[C]1CCCC1
rad_0219,CCC1[CH]CCC1
rad_0220,CCC1C[CH]CC1
rad_0221,C[CH]C1CCCC1
rad_0222,[CH2]CC1CCCC1
rad_0223,CC1C[CH]CC1
rad_0224,CC1[CH]CCC1
rad_0225,C[C]1CCCC1
rad_0226,[CH2]C1CCCC1
rad_0227,CC1[CH]CC(C)C1
rad_0228,C[C]1CCC(C)C1
rad_0229,CC1[CH]C(C)CC1
rad_0230,[CH2]C1CCC(C)C1
rad_0231,[CH2]C1C(C)C1C
rad_0232,C[C]1C(C)C1C
rad_0233,CC[CH]C1(C)CC1
rad_0234,CCCC1(C)[CH]C1
rad_0235,[CH2]C1(CCC)CC1
rad_0236,C[CH]CC1(C)CC1
rad_0237,[CH2]CCC1(C)CC1
rad_0238,CC1(C)[CH]C1(C)C
rad_0239,[CH2]C1(C)CC1(C)C
rad_0240,[CH]1CCCCCC1
rad_0241,[CH2]C1(C)C(C)C1C
rad_0242,C[C]1C(C)C1(C)C
rad_0243,[CH2]C1C(C)C1(C)C
rad_0244,[CH]1CCCCC1
rad_0245,CCC1[C](C)C1C
rad_0246,[CH2]C1C(C)C1CC
rad_0247,CC[C]1C(C)C1C
rad_0248,C[CH]C1C(C)C1C
rad_0249,[CH2]CC1C(C)C1C
rad_0250,CC1[CH]C(C)(C)C1
rad_0251,C[C]1CC(C)(C)C1
rad_0252,[CH2]C1(C)CC(C)C1
rad_0253,[CH2]C1CC(C)(C)C1
rad_0254,[CH2]C(C)(C)C1CC1
rad_0255,CC(C)(C)[C]1CC1
rad_0256,CC(C)(C)C1[CH]C1
rad_0257,CCC[CH]C1CC1
rad_0258,CCCC[C]1CC1
rad_0259,CC[CH]CC1CC1
rad_0260,CCCCC1[CH]C1
rad_0261,C[CH]CCC1CC1
rad_0262,[CH2]CCCC1CC1
rad_0263,C[C](C)CC1CC1
rad_0264,CC(C)[CH]C1CC1
rad_0265,CC(C)C[C]1CC1
rad_0266,[CH2]C(C)CC1CC1
rad_0267,CC(C)CC1[CH]C1
